fold,n_test,r,r2
1,34005,-0.00183,3e-06
2,34005,-0.012245,0.00015
3,34004,-0.000991,1e-06
4,34004,0.009855,9.7e-05
5,34004,0.000592,0.0
6,34004,-0.000397,0.0
7,34004,0.002206,5e-06
8,34004,-0.005531,3.1e-05
9,34004,-0.004398,1.9e-05
10,34004,-0.003677,1.4e-05
