fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.149342,0.022303,-0.009836,9.7e-05,-0.026432,0.472617,22
1,40129,499,0.105724,0.011178,-0.085408,0.007294,-0.083322,0.490982,21
2,39267,606,0.172458,0.029742,-0.023841,0.000568,-0.020228,0.476898,23
3,39663,515,0.156001,0.024336,0.002212,5e-06,0.00635,0.491262,22
4,39495,529,0.087915,0.007729,0.01979,0.000392,0.035627,0.519849,21
5,39622,526,0.141853,0.020122,-0.023737,0.000563,0.023006,0.541825,22
6,38849,632,0.125607,0.015777,0.003644,1.3e-05,0.015839,0.487342,22
7,39802,470,0.171272,0.029334,-0.043972,0.001934,-0.06059,0.487234,23
8,39986,528,0.077836,0.006059,0.010995,0.000121,0.036874,0.549242,21
9,39933,514,0.094896,0.009005,-0.104003,0.010817,-0.112401,0.44358,21
