fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.027652,0.000765,-0.007155,5.1e-05,-0.009743,24
1,306037,34005,0.04671,0.002182,0.005482,3e-05,0.006744,31
2,306038,34004,0.037845,0.001432,-0.007842,6.1e-05,-0.007116,28
3,306038,34004,0.033618,0.00113,0.007696,5.9e-05,0.003042,28
4,306038,34004,0.023598,0.000557,0.001073,1e-06,0.000478,23
5,306038,34004,0.030494,0.00093,0.005367,2.9e-05,0.00289,27
6,306038,34004,0.026229,0.000688,-0.004248,1.8e-05,-0.003864,24
7,306038,34004,0.027601,0.000762,-0.000865,1e-06,-0.003456,26
8,306038,34004,0.027252,0.000743,-0.000554,0.0,0.002138,27
9,306038,34004,0.017437,0.000304,0.0056,3.1e-05,0.006977,23
