fold,n_train,n_test,r,r2
1,40166,493,-0.019346,0.000374
2,40129,499,-0.112672,0.012695
3,39267,606,-0.022105,0.000489
4,39663,515,-0.044394,0.001971
5,39495,529,0.034356,0.00118
6,39622,526,-0.000126,0.0
7,38849,632,-0.075084,0.005638
8,39802,470,-0.058999,0.003481
9,39986,528,-0.032864,0.00108
10,39933,514,0.003617,1.3e-05
