stratum,label,n_corpus,novel_r,novel_r2
freq_1,freq=1,34867,0.31551,0.099547
freq_2_5,freq=2-5,12118,0.266489,0.071016
freq_6_20,freq=6-20,1567,0.124588,0.015522
freq_gt20,freq>20,398,0.068837,0.004739
all,all,48950,0.322902,0.104266
