fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.072374,0.005238,-0.004244,1.8e-05,-0.006242,22
1,306037,34005,0.050101,0.00251,-0.004564,2.1e-05,-0.004116,21
2,306038,34004,0.05059,0.002559,0.002934,9e-06,0.004529,21
3,306038,34004,0.074723,0.005583,0.004725,2.2e-05,0.001548,22
4,306038,34004,0.042926,0.001843,0.004305,1.9e-05,0.000106,21
5,306038,34004,0.046865,0.002196,-0.010924,0.000119,-0.007008,21
6,306038,34004,0.04567,0.002086,0.002359,6e-06,-0.000854,21
7,306038,34004,0.044893,0.002015,0.003343,1.1e-05,0.003461,21
8,306038,34004,0.046241,0.002138,0.000702,0.0,-0.003721,21
9,306038,34004,0.048716,0.002373,0.002409,6e-06,0.005456,21
