fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.526851,0.277572,0.287854,0.08286,0.270664,0.537525,28
1,40129,499,0.520632,0.271058,0.358044,0.128195,0.363139,0.677355,27
2,39267,606,0.525068,0.275696,0.213981,0.045788,0.210089,0.539604,27
3,39663,515,0.506372,0.256413,0.415924,0.172993,0.315532,0.64466,26
4,39495,529,0.522433,0.272936,0.392287,0.153889,0.393932,0.601134,28
5,39622,526,0.517681,0.267993,0.427692,0.18292,0.371535,0.560836,27
6,38849,632,0.521377,0.271834,0.412399,0.170073,0.356029,0.648734,30
7,39802,470,0.529711,0.280594,0.42715,0.182457,0.384824,0.591489,29
8,39986,528,0.514137,0.264337,0.393693,0.154994,0.382515,0.643939,27
9,39933,514,0.513568,0.263752,0.372383,0.138669,0.353701,0.651751,27
