fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.05043,0.002543,-0.002097,4e-06,0.010423,21
1,271560,3838,0.078254,0.006124,-0.011708,0.000137,-0.008306,22
2,273072,3787,0.050093,0.002509,-0.008029,6.4e-05,-0.012604,21
3,277277,3203,0.054045,0.002921,0.010315,0.000106,0.002179,21
4,273362,3746,0.068614,0.004708,0.006651,4.4e-05,0.002558,22
5,275538,3408,0.045932,0.00211,-0.020033,0.000401,-0.024663,21
6,272895,3839,0.048875,0.002389,0.003745,1.4e-05,0.001537,21
7,278245,3162,0.047771,0.002282,-0.00775,6e-05,0.003307,21
8,276139,3294,0.048969,0.002398,-0.002576,7e-06,-0.012926,21
9,277479,3174,0.049451,0.002445,0.011843,0.00014,0.000689,21
