fold,n_test,r,r2
1,34005,0.478718,0.229171
2,34005,0.485111,0.235333
3,34004,0.472432,0.223192
4,34004,0.478149,0.228627
5,34004,0.47508,0.225701
6,34004,0.467701,0.218744
7,34004,0.47516,0.225777
8,34004,0.463194,0.214549
9,34004,0.473609,0.224306
10,34004,0.47414,0.224809
