fold,epoch,train_loss,val_loss
0,1,10.418595743444891,10.41495132446289
0,2,10.358299084354147,10.407508850097656
0,3,10.336388209153554,10.424983978271484
0,4,10.312225433316149,10.441516876220703
0,5,10.287749515310383,10.468815803527832
0,6,10.264699528743728,10.479616165161133
0,7,10.238806755883441,10.504055976867676
0,8,10.21372906031935,10.548226356506348
0,9,10.189360246011749,10.541028022766113
0,10,10.170470965821213,10.555404663085938
0,11,10.146373541392856,10.59821891784668
0,12,10.125683466819638,10.617822647094727
0,13,10.107432270525788,10.618403434753418
0,14,10.09104812768213,10.6519193649292
0,15,10.07197822345825,10.65106201171875
0,16,10.055481530965675,10.660042762756348
0,17,10.042110814205945,10.690808296203613
0,18,10.026927503503561,10.686254501342773
0,19,10.008226108614043,10.736342430114746
0,20,9.99592370586057,10.740304946899414
0,21,9.983231009969721,10.757390975952148
0,22,9.97336476252024,10.748995780944824
1,1,10.388148340437274,10.338916778564453
1,2,10.34069051024928,10.341268539428711
1,3,10.321269342201761,10.354401588439941
1,4,10.298718567787564,10.380938529968262
1,5,10.274696479011306,10.389019012451172
1,6,10.24496521852785,10.413893699645996
1,7,10.221681963737229,10.430222511291504
1,8,10.19431061524721,10.464237213134766
1,9,10.167856909459253,10.491338729858398
1,10,10.144753371043517,10.512012481689453
1,11,10.123348969263054,10.52679443359375
1,12,10.099217053813256,10.558977127075195
1,13,10.078092210838168,10.584798812866211
1,14,10.062649309816507,10.592167854309082
1,15,10.042976720375844,10.607583999633789
1,16,10.027537449988019,10.635108947753906
1,17,10.009307129838728,10.655091285705566
1,18,9.995717667390373,10.675999641418457
1,19,9.98171340502625,10.68621826171875
1,20,9.966368531118162,10.693532943725586
1,21,9.958702447773332,10.701515197753906
2,1,10.431052698458801,10.452211380004883
2,2,10.356341786628423,10.470091819763184
2,3,10.330978270735383,10.479632377624512
2,4,10.30890954308639,10.48611068725586
2,5,10.290143772577922,10.499225616455078
2,6,10.265298527783324,10.5167875289917
2,7,10.240594877194257,10.540298461914062
2,8,10.217416087280121,10.564358711242676
2,9,10.193178063790004,10.589568138122559
2,10,10.170344182838056,10.62414264678955
2,11,10.149573402073084,10.620394706726074
2,12,10.131910432588452,10.636910438537598
2,13,10.10504020912375,10.674836158752441
2,14,10.089861491822028,10.701159477233887
2,15,10.080614301014759,10.699524879455566
2,16,10.055571187394484,10.738792419433594
2,17,10.038460979904515,10.755332946777344
2,18,10.025439758926789,10.764442443847656
2,19,10.015451921505981,10.7724609375
2,20,10.000339463031205,10.775093078613281
2,21,9.982585728030207,10.794068336486816
3,1,10.421489643654583,10.276598930358887
3,2,10.362045491676803,10.267868995666504
3,3,10.338461887559678,10.282837867736816
3,4,10.318557917475992,10.301348686218262
3,5,10.29743859712818,10.32569694519043
3,6,10.275506017753735,10.344857215881348
3,7,10.251050157024343,10.373626708984375
3,8,10.228160001452249,10.380773544311523
3,9,10.204688038920253,10.413151741027832
3,10,10.181029099424547,10.430932998657227
3,11,10.160192059832628,10.45626449584961
3,12,10.145366420389566,10.4567232131958
3,13,10.117703813966997,10.48847484588623
3,14,10.101421387986276,10.499672889709473
3,15,10.084988291248388,10.514583587646484
3,16,10.067442409279867,10.542652130126953
3,17,10.050873164267431,10.570727348327637
3,18,10.03500825966199,10.565627098083496
3,19,10.018974531196108,10.584765434265137
3,20,10.011537204785158,10.609752655029297
3,21,9.98957104216966,10.611194610595703
3,22,9.981727086245394,10.633992195129395
4,1,10.379745675023145,10.346222877502441
4,2,10.343894203714125,10.347296714782715
4,3,10.326938297601975,10.357938766479492
4,4,10.30806633143936,10.375847816467285
4,5,10.283832846225062,10.396031379699707
4,6,10.255442300361247,10.418741226196289
4,7,10.226925590429683,10.453459739685059
4,8,10.199641476210358,10.475678443908691
4,9,10.172328317025796,10.503040313720703
4,10,10.14717991540654,10.513710975646973
4,11,10.125049467206418,10.556575775146484
4,12,10.104415742371158,10.572903633117676
4,13,10.081336794525024,10.58052921295166
4,14,10.064728520340552,10.595796585083008
4,15,10.046443807068819,10.606770515441895
4,16,10.02764082269864,10.650588035583496
4,17,10.01329079456133,10.635638236999512
4,18,9.99773993864251,10.655895233154297
4,19,9.982523099823915,10.673591613769531
4,20,9.96829378982337,10.678872108459473
4,21,9.957639733512444,10.706525802612305
5,1,10.397758091745784,10.385397911071777
5,2,10.357555321582225,10.394006729125977
5,3,10.341927314974495,10.40447998046875
5,4,10.32377693466698,10.419241905212402
5,5,10.297877902227386,10.437938690185547
5,6,10.274961424655546,10.472224235534668
5,7,10.250796921233684,10.487569808959961
5,8,10.227156134841252,10.506965637207031
5,9,10.20167099315628,10.531100273132324
5,10,10.1779739321437,10.55258846282959
5,11,10.15306605914281,10.567513465881348
5,12,10.132513115617115,10.587228775024414
5,13,10.114134913863525,10.607399940490723
5,14,10.091208452084883,10.625618934631348
5,15,10.073406611360213,10.667407989501953
5,16,10.061339335959483,10.665919303894043
5,17,10.040742824985932,10.698259353637695
5,18,10.024700927623577,10.697336196899414
5,19,10.008305952402564,10.729175567626953
5,20,9.999334688765044,10.73711109161377
5,21,9.986052063100187,10.738405227661133
6,1,10.405963294425183,10.44546890258789
6,2,10.364879191097717,10.447880744934082
6,3,10.346092544520486,10.458368301391602
6,4,10.328862526548914,10.479070663452148
6,5,10.306684880280283,10.49621295928955
6,6,10.282477717065733,10.511558532714844
6,7,10.25699983662207,10.551426887512207
6,8,10.231864142175105,10.563469886779785
6,9,10.207576197650988,10.588212966918945
6,10,10.183733911812224,10.595664978027344
6,11,10.162579192913029,10.629565238952637
6,12,10.137577831430283,10.639962196350098
6,13,10.12039954980304,10.652491569519043
6,14,10.098583150289542,10.686995506286621
6,15,10.081661735073611,10.714756965637207
6,16,10.064117668415415,10.717966079711914
6,17,10.04720986802694,10.729689598083496
6,18,10.026758581879573,10.747883796691895
6,19,10.011598925336287,10.77620792388916
6,20,9.999573402073084,10.800326347351074
6,21,9.98698513260842,10.813916206359863
7,1,10.394808212463921,10.442469596862793
7,2,10.347079165683374,10.446228981018066
7,3,10.327776063318025,10.454827308654785
7,4,10.308313213643872,10.465953826904297
7,5,10.28861165066168,10.489014625549316
7,6,10.266234320257048,10.50341510772705
7,7,10.246117051209904,10.519962310791016
7,8,10.224484905694629,10.53713607788086
7,9,10.202143881496541,10.549304008483887
7,10,10.181943108174343,10.561882972717285
7,11,10.162378601121862,10.581779479980469
7,12,10.144074827091691,10.604411125183105
7,13,10.126565251329716,10.605270385742188
7,14,10.107366529308186,10.647533416748047
7,15,10.09201808049086,10.659381866455078
7,16,10.07568119520032,10.677979469299316
