fold,n_train,n_test,r,r2
1,279306,3086,0.433015,0.187502
2,271560,3838,0.427477,0.182736
3,273072,3787,0.438962,0.192688
4,277277,3203,0.371718,0.138175
5,273362,3746,0.418563,0.175195
6,275538,3408,0.354058,0.125357
7,272895,3839,0.398653,0.158924
8,278245,3162,0.436056,0.190145
9,276139,3294,0.426094,0.181556
10,277479,3174,0.411568,0.169388
