stratum,label,n_stratum,n_sampled,mean_r2,ci_lo,ci_hi
freq_1,freq=1,34867,398,0.007931,0.000552,0.020955
freq_2_5,freq=2-5,12118,398,0.007888,0.00056,0.02001
freq_6_20,freq=6-20,1567,398,0.009935,0.001466,0.022416
freq_gt20,freq>20,398,398,0.009972,0.002336,0.019156
