fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.588601,0.346452,0.515619,0.265863,0.429316,50
1,306037,34005,0.590357,0.348522,0.525604,0.276259,0.427399,51
2,306038,34004,0.576012,0.33179,0.508221,0.258289,0.418673,40
3,306038,34004,0.58868,0.346545,0.518894,0.269251,0.421665,54
4,306038,34004,0.577666,0.333698,0.518464,0.268805,0.429153,42
5,306038,34004,0.584964,0.342182,0.506527,0.256569,0.416326,47
6,306038,34004,0.57287,0.32818,0.507532,0.257589,0.418197,40
7,306038,34004,0.579614,0.335952,0.498059,0.248063,0.409047,45
8,306038,34004,0.602726,0.363278,0.515061,0.265287,0.426386,70
9,306038,34004,0.593117,0.351788,0.515053,0.265279,0.42307,52
