fold,n_train,n_test,r,r2
1,40166,493,0.273561,0.074836
2,40129,499,0.385264,0.148429
3,39267,606,0.235794,0.055599
4,39663,515,0.421232,0.177437
5,39495,529,0.398472,0.15878
6,39622,526,0.432232,0.186824
7,38849,632,0.411641,0.169449
8,39802,470,0.430073,0.184963
9,39986,528,0.397269,0.157823
10,39933,514,0.354108,0.125392
