fold,n_train,n_test,r,r2
1,279306,3086,-0.00932,8.7e-05
2,271560,3838,-0.012867,0.000166
3,273072,3787,0.017811,0.000317
4,277277,3203,-0.000298,0.0
5,273362,3746,-0.004593,2.1e-05
6,275538,3408,0.017317,0.0003
7,272895,3839,0.012152,0.000148
8,278245,3162,-1.2e-05,0.0
9,276139,3294,-0.004322,1.9e-05
10,277479,3174,-0.010337,0.000107
