condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,16,mean_pooled,pair_novel,3e-05,3e-05,10,5.9,11.9
default,16,mean_pooled,word_novel,0.00018,0.000252,10,7.0,13.0
default,16,words_only,pair_novel,1.9e-05,1.9e-05,10,2.7,8.7
default,16,words_only,word_novel,0.000163,0.000166,10,2.7,8.7
attn_zeroed,16,mean_pooled,pair_novel,2.7e-05,2.6e-05,10,10.4,16.4
attn_zeroed,16,mean_pooled,word_novel,0.000114,0.000149,10,9.3,15.3
attn_zeroed,16,words_only,pair_novel,2.8e-05,2.7e-05,10,3.3,9.3
attn_zeroed,16,words_only,word_novel,0.000226,0.000284,10,2.9,8.9
default,0,mean_pooled,pair_novel,1.7e-05,2.4e-05,10,6.3,12.3
default,0,mean_pooled,word_novel,0.000286,0.000252,10,7.4,13.4
default,0,words_only,pair_novel,3.4e-05,4.8e-05,10,1.8,7.8
default,0,words_only,word_novel,0.000347,0.000266,10,1.8,7.8
default,1,mean_pooled,pair_novel,4e-05,6.5e-05,10,7.5,13.5
default,1,mean_pooled,word_novel,0.000344,0.000333,10,7.0,13.0
default,1,words_only,pair_novel,3.2e-05,5.4e-05,10,1.8,7.8
default,1,words_only,word_novel,0.000373,0.000416,10,2.0,8.0
default,2,mean_pooled,pair_novel,3.4e-05,2.8e-05,10,7.3,13.3
default,2,mean_pooled,word_novel,0.000245,0.00031,10,8.5,14.5
default,2,words_only,pair_novel,9e-06,8e-06,10,2.7,8.7
default,2,words_only,word_novel,5.5e-05,6.9e-05,10,2.0,8.0
default,3,mean_pooled,pair_novel,1.3e-05,1.1e-05,10,6.6,12.6
default,3,mean_pooled,word_novel,0.000227,0.000294,10,6.8,12.8
default,3,words_only,pair_novel,3.8e-05,5.4e-05,10,3.0,9.0
default,3,words_only,word_novel,0.00033,0.000299,10,2.5,8.5
default,4,mean_pooled,pair_novel,3.5e-05,5.1e-05,10,6.5,12.5
default,4,mean_pooled,word_novel,0.000228,0.000432,10,3.9,9.9
default,4,words_only,pair_novel,2.8e-05,4.9e-05,10,4.3,10.3
default,4,words_only,word_novel,0.000352,0.000624,10,4.8,10.8
default,5,mean_pooled,pair_novel,2.8e-05,4.3e-05,10,5.3,11.3
default,5,mean_pooled,word_novel,0.000358,0.00044,10,6.2,12.2
default,5,words_only,pair_novel,1.6e-05,2.4e-05,10,5.0,11.0
default,5,words_only,word_novel,0.000117,0.000106,10,6.1,12.1
default,6,mean_pooled,pair_novel,2.3e-05,3.5e-05,10,3.2,9.2
default,6,mean_pooled,word_novel,0.000347,0.000338,10,6.2,12.2
default,6,words_only,pair_novel,2.3e-05,1.7e-05,10,5.2,11.2
default,6,words_only,word_novel,0.00038,0.000429,10,5.6,11.6
default,7,mean_pooled,pair_novel,1.6e-05,1.7e-05,10,10.3,16.3
default,7,mean_pooled,word_novel,0.000198,0.000175,10,6.4,12.4
default,7,words_only,pair_novel,5.5e-05,7.1e-05,10,5.2,11.2
default,7,words_only,word_novel,0.000304,0.000398,10,5.6,11.6
default,8,mean_pooled,pair_novel,1.7e-05,3.8e-05,10,8.1,14.1
default,8,mean_pooled,word_novel,0.000318,0.000326,10,6.9,12.9
default,8,words_only,pair_novel,1.2e-05,1.3e-05,10,5.2,11.2
default,8,words_only,word_novel,0.00019,0.000273,10,5.4,11.4
default,9,mean_pooled,pair_novel,7e-05,0.00012,10,3.9,9.9
default,9,mean_pooled,word_novel,0.000156,0.000141,10,5.4,11.4
default,9,words_only,pair_novel,3.1e-05,5.2e-05,10,3.6,9.6
default,9,words_only,word_novel,0.000103,0.000105,10,3.8,9.8
default,10,mean_pooled,pair_novel,9e-06,1.6e-05,10,9.7,15.7
default,10,mean_pooled,word_novel,0.000375,0.000455,10,8.7,14.7
default,10,words_only,pair_novel,3.9e-05,5.2e-05,10,4.7,10.7
default,10,words_only,word_novel,0.000322,0.000308,10,4.8,10.8
default,11,mean_pooled,pair_novel,2.6e-05,1.9e-05,10,11.4,17.4
