condition,layer,mode,split,mean_r2,sd_r2,n_folds
default,0,mean_pooled,pair_novel,0.299407,0.005831,10
default,0,mean_pooled,word_novel,0.232669,0.019725,10
default,0,words_only,pair_novel,0.24611,0.003608,10
default,0,words_only,word_novel,0.203546,0.024837,10
default,1,mean_pooled,pair_novel,0.345013,0.005625,10
default,1,mean_pooled,word_novel,0.296877,0.026113,10
default,1,words_only,pair_novel,0.336018,0.004399,10
default,1,words_only,word_novel,0.30161,0.026018,10
default,2,mean_pooled,pair_novel,0.372864,0.006375,10
default,2,mean_pooled,word_novel,0.331279,0.023378,10
default,2,words_only,pair_novel,0.348369,0.004999,10
default,2,words_only,word_novel,0.317797,0.027567,10
default,3,mean_pooled,pair_novel,0.379836,0.005191,10
default,3,mean_pooled,word_novel,0.34257,0.0243,10
default,3,words_only,pair_novel,0.355586,0.004617,10
default,3,words_only,word_novel,0.326306,0.02743,10
default,4,mean_pooled,pair_novel,0.398853,0.00553,10
default,4,mean_pooled,word_novel,0.366455,0.0268,10
default,4,words_only,pair_novel,0.381485,0.005511,10
default,4,words_only,word_novel,0.356606,0.032055,10
default,5,mean_pooled,pair_novel,0.416634,0.004769,10
default,5,mean_pooled,word_novel,0.388917,0.029771,10
default,5,words_only,pair_novel,0.399076,0.005458,10
default,5,words_only,word_novel,0.377077,0.031374,10
default,6,mean_pooled,pair_novel,0.438007,0.003922,10
default,6,mean_pooled,word_novel,0.416401,0.033133,10
default,6,words_only,pair_novel,0.411245,0.005996,10
default,6,words_only,word_novel,0.394217,0.033689,10
default,7,mean_pooled,pair_novel,0.458898,0.004438,10
default,7,mean_pooled,word_novel,0.437465,0.031265,10
default,7,words_only,pair_novel,0.421532,0.005452,10
default,7,words_only,word_novel,0.403907,0.03214,10
default,8,mean_pooled,pair_novel,0.473749,0.004288,10
default,8,mean_pooled,word_novel,0.453496,0.030842,10
default,8,words_only,pair_novel,0.429462,0.004909,10
default,8,words_only,word_novel,0.41468,0.032341,10
default,9,mean_pooled,pair_novel,0.49104,0.003637,10
default,9,mean_pooled,word_novel,0.468057,0.035929,10
default,9,words_only,pair_novel,0.440376,0.004795,10
default,9,words_only,word_novel,0.424579,0.033291,10
default,10,mean_pooled,pair_novel,0.502517,0.004386,10
default,10,mean_pooled,word_novel,0.479873,0.032096,10
default,10,words_only,pair_novel,0.445064,0.00534,10
default,10,words_only,word_novel,0.429219,0.034768,10
default,11,mean_pooled,pair_novel,0.504799,0.00538,10
default,11,mean_pooled,word_novel,0.483901,0.031151,10
default,11,words_only,pair_novel,0.445568,0.005163,10
default,11,words_only,word_novel,0.427285,0.031813,10
default,12,mean_pooled,pair_novel,0.501451,0.005109,10
default,12,mean_pooled,word_novel,0.478083,0.0339,10
default,12,words_only,pair_novel,0.44477,0.005108,10
default,12,words_only,word_novel,0.426049,0.03526,10
default,13,mean_pooled,pair_novel,0.498611,0.005518,10
default,13,mean_pooled,word_novel,0.476872,0.029882,10
default,13,words_only,pair_novel,0.443797,0.00505,10
default,13,words_only,word_novel,0.425421,0.034759,10
default,14,mean_pooled,pair_novel,0.494851,0.005663,10
default,14,mean_pooled,word_novel,0.470588,0.027039,10
default,14,words_only,pair_novel,0.44158,0.004847,10
default,14,words_only,word_novel,0.422643,0.034052,10
default,15,mean_pooled,pair_novel,0.493753,0.00514,10
default,15,mean_pooled,word_novel,0.468835,0.030005,10
default,15,words_only,pair_novel,0.439294,0.005048,10
default,15,words_only,word_novel,0.419207,0.031803,10
default,16,mean_pooled,pair_novel,0.492853,0.005539,10
default,16,mean_pooled,word_novel,0.467827,0.030436,10
default,16,words_only,pair_novel,0.436569,0.004712,10
default,16,words_only,word_novel,0.416089,0.029349,10
default,17,mean_pooled,pair_novel,0.487246,0.006581,10
default,17,mean_pooled,word_novel,0.462052,0.032027,10
default,17,words_only,pair_novel,0.434969,0.004429,10
default,17,words_only,word_novel,0.415998,0.029609,10
default,18,mean_pooled,pair_novel,0.480059,0.006244,10
default,18,mean_pooled,word_novel,0.455225,0.030399,10
default,18,words_only,pair_novel,0.428424,0.004384,10
default,18,words_only,word_novel,0.408348,0.028979,10
default,19,mean_pooled,pair_novel,0.470682,0.006252,10
default,19,mean_pooled,word_novel,0.447422,0.028427,10
default,19,words_only,pair_novel,0.422817,0.004567,10
default,19,words_only,word_novel,0.403217,0.029755,10
default,20,mean_pooled,pair_novel,0.460514,0.005242,10
default,20,mean_pooled,word_novel,0.436756,0.028501,10
default,20,words_only,pair_novel,0.415605,0.004186,10
default,20,words_only,word_novel,0.395959,0.030612,10
default,21,mean_pooled,pair_novel,0.452306,0.004622,10
default,21,mean_pooled,word_novel,0.42743,0.028777,10
default,21,words_only,pair_novel,0.408106,0.003841,10
default,21,words_only,word_novel,0.390817,0.029019,10
default,22,mean_pooled,pair_novel,0.443338,0.00503,10
default,22,mean_pooled,word_novel,0.419017,0.027781,10
default,22,words_only,pair_novel,0.399908,0.003659,10
default,22,words_only,word_novel,0.383146,0.029473,10
default,23,mean_pooled,pair_novel,0.43369,0.005395,10
default,23,mean_pooled,word_novel,0.410568,0.02752,10
default,23,words_only,pair_novel,0.394016,0.003687,10
default,23,words_only,word_novel,0.378682,0.028049,10
default,24,mean_pooled,pair_novel,0.413329,0.005741,10
default,24,mean_pooled,word_novel,0.392118,0.03019,10
default,24,words_only,pair_novel,0.388371,0.004394,10
default,24,words_only,word_novel,0.370455,0.031867,10
attn_zeroed,0,mean_pooled,pair_novel,0.32095,0.006677,10
attn_zeroed,0,mean_pooled,word_novel,0.240314,0.01941,10
attn_zeroed,0,words_only,pair_novel,0.255965,0.003954,10
attn_zeroed,0,words_only,word_novel,0.211306,0.020359,10
attn_zeroed,1,mean_pooled,pair_novel,0.376117,0.007983,10
attn_zeroed,1,mean_pooled,word_novel,0.322005,0.01865,10
attn_zeroed,1,words_only,pair_novel,0.351644,0.006133,10
attn_zeroed,1,words_only,word_novel,0.316667,0.022193,10
attn_zeroed,2,mean_pooled,pair_novel,0.396102,0.006453,10
