word,bias_C1,bias_C2,bias_C3,bias_C4,bias_C5,bias_C6,bias_C7,bias_C8,bias_C9,bias_C10,bias_C11,bias_C12,bias_C13,bias_C14,bias_C15
blades,-4.111950671428572,-3.1883178571428568,2.284619387142857,-1.8337117557142857,7.189972422857142,2.6440469657142858,1.3412507585714284,7.416806285714285,4.110725485714286,-4.183757724885714,0.4124772028571429,6.676799771428572,3.1954207114285715,-1.9657766671428571,-2.374894635714286
columnists,0.1523144580000002,2.2463141944444445,0.8543557333333331,-1.42414365,2.5007486102222223,3.9177661599999998,-0.5774618327777777,1.099947933888889,0.4484651391111111,0.2946983311111111,-3.274153165555555,1.5330981701111113,6.6215878833333335,2.3617688505555554,-1.4527596427777778
nobility,-2.9842922745238094,-6.624896025833333,1.2274086826190478,6.845296748571428,0.537366803452381,-2.0498392451250003,-1.5907577583928572,-6.427471408669703,4.160493067630952,-0.16067327952380953,-1.2916890780952381,3.241869836488095,0.4712865725,-1.5119844251666668,3.1830763219166665
voter,-1.5281553154545455,1.3697189727272727,0.2032599127272727,3.6399299454545453,-0.8400950049090908,-2.7775856972727273,2.411396720909091,2.2427204218181815,0.88429,0.09903564909090906,-2.010471781818182,-1.143406351818182,1.918277992181818,1.7773155424545453,1.5869092641818183
homeowners,4.280678172380952,0.9748217672380952,-4.200234897904762,2.617099428190476,-4.874571121380953,-0.8317965238095238,-2.550136814285714,-4.430736478095238,1.9431048904761903,4.627098807619047,-0.21623060666666682,-4.757410733333333,0.32461956390476193,3.8711434523333335,0.19337044666666658
spirituality,5.074181797383721,1.8710741269581395,-0.8790553695058139,0.18457157625000004,-0.29419730836046515,-0.8484222919418605,-2.8944606535639537,-6.611349829534884,2.775311041947674,-0.4819247898372091,-3.6556401814825583,-1.5332700712906977,-0.25111369023255814,3.0772785120872093,0.6627427139825581
modification,0.2297598274999999,1.9068934551842105,4.753749408815789,0.8787112949999999,-2.7394252280921054,-6.436707692763157,-0.6201642121710526,-2.837698090723684,0.9209351749342105,0.20879133749999998,3.011000111644737,5.430242376315789,-0.2954435071052631,-1.2609738744078947,-1.3162000137894738
reservations,-0.45861248916666675,2.6289659249999997,-0.004757700000000087,-6.210631126166668,4.946103983333333,2.8613119433333334,3.45413485,-1.5938982083333335,-1.488457055,-0.3576737499999999,-1.1635516133333335,-1.0878555733333333,0.5088701016666667,-1.0370352975000001,-4.225000033333333
belongings,-4.142996855833333,1.1790433333333332,2.6213900058333333,-1.5281667399999999,1.17374921,-0.730428705,1.4260456641666668,0.8660658333333333,0.9714424249999999,0.9300680458333334,3.5815996616666665,-1.1608698738333334,3.174799978333333,-1.7078568998333334,-0.53305972
ravines,-2.2937189333333334,5.786143758333333,-5.247756981666667,0.8206904536666667,2.0811530566666665,-2.2306919375,4.555759810333333,-2.0479191423333334,-3.512947266666667,-2.927042366666667,3.9958443333333333,2.3901315683333335,2.7645488916666667,-2.418740011666667,-3.5971922008333332
