condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
attn_zeroed,5,words_only,pair_novel,0.302932,0.010337,10,147.9,153.9
attn_zeroed,5,words_only,word_novel,0.152181,0.021029,10,196.0,202.0
attn_zeroed,6,mean_pooled,pair_novel,0.206667,0.026347,10,164.9,170.9
attn_zeroed,6,mean_pooled,word_novel,0.124042,0.032362,10,200.3,206.3
attn_zeroed,6,words_only,pair_novel,0.321309,0.015444,10,148.9,154.9
attn_zeroed,6,words_only,word_novel,0.166715,0.019145,10,184.3,190.3
attn_zeroed,7,mean_pooled,pair_novel,0.196808,0.034262,10,164.6,170.6
attn_zeroed,7,mean_pooled,word_novel,0.132655,0.035192,10,223.3,229.3
attn_zeroed,7,words_only,pair_novel,0.317966,0.016892,10,131.4,137.4
attn_zeroed,7,words_only,word_novel,0.178627,0.015938,10,197.6,203.6
attn_zeroed,8,mean_pooled,pair_novel,0.201584,0.022902,10,173.3,179.3
attn_zeroed,8,mean_pooled,word_novel,0.132816,0.028058,10,230.9,236.9
attn_zeroed,8,words_only,pair_novel,0.329132,0.018774,10,138.8,144.8
attn_zeroed,8,words_only,word_novel,0.189403,0.01954,10,202.4,208.4
attn_zeroed,9,mean_pooled,pair_novel,0.180535,0.067345,10,150.8,156.8
attn_zeroed,9,mean_pooled,word_novel,0.135271,0.036709,10,215.2,221.2
attn_zeroed,9,words_only,pair_novel,0.333763,0.020646,10,142.6,148.6
attn_zeroed,9,words_only,word_novel,0.184935,0.020172,10,193.3,199.3
attn_zeroed,10,mean_pooled,pair_novel,0.212315,0.029692,10,160.5,166.5
attn_zeroed,10,mean_pooled,word_novel,0.138085,0.034132,10,192.1,198.1
attn_zeroed,10,words_only,pair_novel,0.333657,0.016935,10,136.4,142.4
attn_zeroed,10,words_only,word_novel,0.184606,0.016153,10,204.0,210.0
attn_zeroed,11,mean_pooled,pair_novel,0.225454,0.017906,10,157.8,163.8
attn_zeroed,11,mean_pooled,word_novel,0.140391,0.02716,10,179.3,185.3
attn_zeroed,11,words_only,pair_novel,0.33029,0.018935,10,132.6,138.6
attn_zeroed,11,words_only,word_novel,0.182442,0.015189,10,193.2,199.2
attn_zeroed,12,mean_pooled,pair_novel,0.244195,0.025333,10,161.1,167.1
attn_zeroed,12,mean_pooled,word_novel,0.142593,0.026646,10,179.7,185.7
attn_zeroed,12,words_only,pair_novel,0.344995,0.011592,10,141.0,147.0
attn_zeroed,12,words_only,word_novel,0.183306,0.022056,10,195.7,201.7
