stratum,label,n_corpus,novel_r,novel_r2
freq_1,freq=1,168938,0.359113,0.128962
freq_2_5,freq=2-5,36638,0.33274,0.110716
freq_6_20,freq=6-20,5954,0.248063,0.061535
freq_gt20,freq>20,1416,0.164122,0.026936
all,all,212946,0.355343,0.126269
