stratum,label,n_stratum,n_sampled,mean_r2,ci_lo,ci_hi
freq_1,freq=1,168938,1416,0.047453,0.031299,0.063751
freq_2_5,freq=2-5,36638,1416,0.04769,0.030814,0.066095
freq_6_20,freq=6-20,5954,1416,0.034586,0.021865,0.04903
freq_gt20,freq>20,1416,1416,0.022422,0.012909,0.031475
