fold,n_test,r,r2
1,5369,0.535897,0.287186
2,5369,0.548251,0.300579
3,5369,0.536446,0.287774
4,5369,0.530101,0.281007
5,5369,0.531133,0.282102
6,5368,0.542716,0.29454
7,5368,0.531068,0.282033
8,5368,0.529409,0.280274
9,5368,0.530137,0.281045
10,5368,0.510182,0.260286
