fold,n_train,n_test,r,r2
1,173079,2119,0.667566,0.445644
2,172985,2056,0.695902,0.48428
3,174629,1919,0.622958,0.388076
4,174752,1881,0.654656,0.428574
5,174944,1824,0.676913,0.458211
6,170398,2368,0.707199,0.50013
7,171297,2307,0.638858,0.408139
8,169751,2462,0.654268,0.428067
9,172473,2143,0.638283,0.407406
10,170689,2350,0.675619,0.456461
