feature,target,n,r,rho,p
babylm_log_freq,C1,53685,0.314539678517795,0.3192159701286047,0
babylm_log_freq,C2,53685,-0.40371066966686475,-0.38624429040815944,0
babylm_log_freq,C3,53685,0.23655768921326706,0.24157546494691556,0
babylm_log_freq,C4,53685,-0.2739523172704161,-0.27249972915069365,0
babylm_log_freq,C5,53685,-0.030687799130307,-0.026210259231466505,1.144730792441361e-12
babylm_log_freq,C6,53685,0.11710571882401705,0.11226409838860545,3.1536877865583146e-163
babylm_log_freq,C7,53685,0.03472109012955623,0.05590852510720422,8.476251682109958e-16
babylm_log_freq,C8,53685,0.048569241161437376,0.048595466405358986,2.070223594911574e-29
babylm_log_freq,C9,53685,-0.27976318735425076,-0.26843904696157594,0
babylm_log_freq,C10,53685,0.24873291900281724,0.2283259953128333,0
babylm_log_freq,C11,53685,-0.18640453427919626,-0.16767117797027767,0
babylm_log_freq,C12,53685,0.15995414692766197,0.1549156494294143,1.584175261052151e-304
babylm_log_freq,C13,53685,-0.08299320736660344,-0.10689687085212565,1.1124878102167507e-82
babylm_log_freq,C14,53685,0.034699670046670635,0.035173818864988875,8.827122651827914e-16
babylm_log_freq,C15,53685,-0.07859455421073197,-0.078533647525833,2.5692355931427104e-74
babylm_log_freq,preference,53685,0.024346594415672815,0.03231661512676174,1.6826532355615046e-8
word_length,C1,53685,-0.0035967049088792506,-0.013882438218610361,0.4046526241247108
word_length,C2,53685,0.23125986219866776,0.21810271406234247,0
word_length,C3,53685,-8.198712157630181e-4,-0.007377802237676582,0.8493405032902794
word_length,C4,53685,-0.09692544122663786,-0.097877297733585,3.302365798428011e-112
word_length,C5,53685,0.11147074500718011,0.11503791241051177,5.415503441984981e-148
word_length,C6,53685,-0.30720265648121886,-0.3019423722220084,0
word_length,C7,53685,0.13796104253693373,0.13475673965211668,2.4288732406156155e-226
word_length,C8,53685,-0.206078478647996,-0.2082934360385061,0
word_length,C9,53685,0.09490756190564018,0.09455737180505323,1.2085116803908241e-107
word_length,C10,53685,-0.06685009121487395,-0.05956747397079424,3.151333655331612e-54
word_length,C11,53685,0.1031810190647401,0.0954792100236012,5.6480686457985225e-127
word_length,C12,53685,-0.03503170224213215,-0.01810389299567906,4.694343720283822e-16
word_length,C13,53685,-0.039291977668353434,-0.03304874243754988,8.448465055967855e-20
word_length,C14,53685,0.039397705628506634,0.03719200129671774,6.737569205049656e-20
word_length,C15,53685,-0.09183577377176771,-0.08934492131201623,6.95420396363374e-101
word_length,preference,53685,0.016965616830406968,0.016853787944489954,8.454795262400479e-5
n_syllables,C1,50167,-0.029792405128309312,-0.03744453321192868,2.4855846131639718e-11
n_syllables,C2,50167,0.25490959235529775,0.2476143774687056,0
n_syllables,C3,50167,-0.047755453134778865,-0.04956699443142239,9.949584076363966e-27
n_syllables,C4,50167,-0.08105369801565426,-0.08117043872732735,6.9267522170244825e-74
n_syllables,C5,50167,0.15553067138896684,0.1533855139001112,4.1320396934808514e-269
n_syllables,C6,50167,-0.3221824924514816,-0.31144815881916954,0
n_syllables,C7,50167,0.15339592920695616,0.15129134214441456,9.584738509273299e-262
n_syllables,C8,50167,-0.2280393363070788,-0.23021891226560331,0
n_syllables,C9,50167,0.07275423985095981,0.0748365359500969,7.507738199306713e-60
n_syllables,C10,50167,-0.08197856060462425,-0.07744492050291624,1.5210440830518405e-75
n_syllables,C11,50167,0.061337196754813576,0.04866491375911487,5.0296184003895204e-43
n_syllables,C12,50167,0.07396985521892717,0.08517675592702179,8.221303197009183e-62
n_syllables,C13,50167,-0.0726927512155903,-0.06356759143512686,9.414842482584352e-60
n_syllables,C14,50167,0.029411091519204877,0.03183876902726659,4.435309104029324e-11
n_syllables,C15,50167,-0.016725599599751256,-0.01931828015914065,1.7941407409943297e-4
n_syllables,preference,50167,-0.005449792301597587,-0.013458193906660391,0.22222893150602532
pair_cosine_sim,C1,53435,-0.018090280164926156,-0.022424386529274774,2.8896150172974217e-5
pair_cosine_sim,C2,53435,0.01214099313714796,0.017789397190052837,0.005007495746367639
pair_cosine_sim,C3,53435,0.006260677713200177,0.004143130598568162,0.14784110607407114
pair_cosine_sim,C4,53435,0.017731890642798086,0.01685962984994451,4.147019733044013e-5
pair_cosine_sim,C5,53435,-0.015806087089307193,-0.01840157625227911,2.58307319409555e-4
pair_cosine_sim,C6,53435,0.003678678097529277,0.0038771587762046794,0.3951323899004656
pair_cosine_sim,C7,53435,-0.004715303260628804,-0.0034123712165901134,0.2757260875599678
pair_cosine_sim,C8,53435,0.032731142357963754,0.03847193860150986,3.7905684625853074e-14
pair_cosine_sim,C9,53435,-0.006922310279691496,-0.006754842939829812,0.10956668727686171
pair_cosine_sim,C10,53435,0.01557002807909055,0.01774832698185273,3.1907064921317987e-4
pair_cosine_sim,C11,53435,0.006182547119529077,0.009419915733321169,0.15296441708095798
pair_cosine_sim,C12,53435,-0.01220265788079007,-0.015748254647527198,0.004790303451829619
pair_cosine_sim,C13,53435,0.008572713139909037,0.011301327876591535,0.04751737075618053
pair_cosine_sim,C14,53435,-6.788066316108483e-4,-0.004222031261791979,0.8753162765466768
pair_cosine_sim,C15,53435,0.004903555017512972,9.37800722948311e-4,0.2570099433657599
pair_cosine_sim,preference,53435,1.4628125401209177e-4,2.611036815673273e-4,0.9730257900823562
