stratum,label,n_full,n_sampled,novel_r,novel_r2
freq_1,freq=1,168938,1416,0.22084,0.04877
freq_2_5,freq=2-5,36638,1416,0.207641,0.043115
freq_6_20,freq=6-20,5954,1416,0.189835,0.036037
freq_gt20,freq>20,1416,1416,0.164122,0.026936
