fold,n_train,n_test,r,r2
1,42630,691,0.399644,0.159715
2,44280,412,0.377342,0.142387
3,44201,460,0.442693,0.195977
4,44078,493,0.274343,0.075264
5,42957,617,0.463568,0.214895
6,44887,362,0.296523,0.087926
7,42158,675,0.336014,0.112905
8,42979,647,0.346069,0.119764
9,42716,590,0.380532,0.144804
10,44038,497,0.360539,0.129988
