condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,0,mean_pooled,pair_novel,0.732409,0.015721,10,65.0,71.0
default,0,mean_pooled,word_novel,0.60498,0.051926,10,84.0,90.0
default,0,words_only,pair_novel,0.569195,0.017994,10,84.2,90.2
default,0,words_only,word_novel,0.19133,0.042856,10,86.8,92.8
default,1,mean_pooled,pair_novel,0.697802,0.010744,10,89.5,95.5
default,1,mean_pooled,word_novel,0.551719,0.036272,10,89.5,95.5
default,1,words_only,pair_novel,0.561781,0.027739,10,81.8,87.8
default,1,words_only,word_novel,0.237292,0.037629,10,92.6,98.6
default,2,mean_pooled,pair_novel,0.692888,0.009611,10,86.5,92.5
default,2,mean_pooled,word_novel,0.552045,0.039748,10,96.1,102.1
default,2,words_only,pair_novel,0.556358,0.027789,10,90.5,96.5
default,2,words_only,word_novel,0.229061,0.032877,10,80.3,86.3
default,3,mean_pooled,pair_novel,0.686751,0.014694,10,85.7,91.7
default,3,mean_pooled,word_novel,0.55014,0.041195,10,89.5,95.5
default,3,words_only,pair_novel,0.515695,0.038697,10,71.6,77.6
default,3,words_only,word_novel,0.227576,0.032894,10,81.7,87.7
default,4,mean_pooled,pair_novel,0.684556,0.017671,10,85.2,91.2
default,4,mean_pooled,word_novel,0.547863,0.03614,10,83.5,89.5
default,4,words_only,pair_novel,0.519443,0.023897,10,78.6,84.6
default,4,words_only,word_novel,0.226031,0.025204,10,83.2,89.2
default,5,mean_pooled,pair_novel,0.671464,0.015051,10,69.8,75.8
default,5,mean_pooled,word_novel,0.544429,0.041591,10,81.3,87.3
default,5,words_only,pair_novel,0.513806,0.034858,10,86.8,92.8
default,5,words_only,word_novel,0.224074,0.03722,10,95.6,101.6
default,6,mean_pooled,pair_novel,0.66969,0.020914,10,69.4,75.4
default,6,mean_pooled,word_novel,0.537985,0.044719,10,73.8,79.8
default,6,words_only,pair_novel,0.49821,0.040031,10,81.5,87.5
default,6,words_only,word_novel,0.203758,0.02604,10,84.3,90.3
default,7,mean_pooled,pair_novel,0.670949,0.015224,10,70.8,76.8
default,7,mean_pooled,word_novel,0.54452,0.045559,10,78.4,84.4
default,7,words_only,pair_novel,0.493369,0.024925,10,77.9,83.9
default,7,words_only,word_novel,0.194007,0.026477,10,77.2,83.2
default,8,mean_pooled,pair_novel,0.674454,0.015795,10,74.0,80.0
default,8,mean_pooled,word_novel,0.551429,0.03773,10,83.1,89.1
default,8,words_only,pair_novel,0.508484,0.02915,10,92.8,98.8
default,8,words_only,word_novel,0.217715,0.034542,10,98.4,104.4
default,9,mean_pooled,pair_novel,0.67204,0.016997,10,73.8,79.8
default,9,mean_pooled,word_novel,0.547142,0.053544,10,78.2,84.2
default,9,words_only,pair_novel,0.503602,0.031218,10,92.7,98.7
default,9,words_only,word_novel,0.204354,0.02912,10,90.5,96.5
default,10,mean_pooled,pair_novel,0.670078,0.020022,10,73.0,79.0
default,10,mean_pooled,word_novel,0.553947,0.047824,10,90.0,96.0
default,10,words_only,pair_novel,0.486166,0.03864,10,84.8,90.8
default,10,words_only,word_novel,0.205318,0.034431,10,89.3,95.3
default,11,mean_pooled,pair_novel,0.676326,0.014307,10,78.6,84.6
default,11,mean_pooled,word_novel,0.554679,0.05061,10,85.7,91.7
default,11,words_only,pair_novel,0.47547,0.03529,10,79.4,85.4
default,11,words_only,word_novel,0.197986,0.038396,10,82.4,88.4
default,12,mean_pooled,pair_novel,0.663583,0.018516,10,65.6,71.6
default,12,mean_pooled,word_novel,0.545519,0.039977,10,71.9,77.9
default,12,words_only,pair_novel,0.471896,0.053136,10,83.3,89.3
default,12,words_only,word_novel,0.199738,0.043508,10,91.5,97.5
default,13,mean_pooled,pair_novel,0.670915,0.013216,10,74.5,80.5
default,13,mean_pooled,word_novel,0.558013,0.036348,10,88.5,94.5
default,13,words_only,pair_novel,0.476253,0.023683,10,86.5,92.5
default,13,words_only,word_novel,0.200737,0.04508,10,95.3,101.3
default,14,mean_pooled,pair_novel,0.676565,0.014991,10,83.9,89.9
default,14,mean_pooled,word_novel,0.555669,0.040287,10,88.5,94.5
default,14,words_only,pair_novel,0.447403,0.03292,10,70.1,76.1
default,14,words_only,word_novel,0.200436,0.043695,10,90.7,96.7
default,15,mean_pooled,pair_novel,0.664534,0.019293,10,71.8,77.8
default,15,mean_pooled,word_novel,0.554282,0.044337,10,85.6,91.6
