fold,n_train,n_test,r,r2
1,40166,493,0.287463,0.082635
2,40129,499,0.362325,0.13128
3,39267,606,0.289308,0.083699
4,39663,515,0.367867,0.135326
5,39495,529,0.404187,0.163367
6,39622,526,0.351666,0.123669
7,38849,632,0.386883,0.149679
8,39802,470,0.446062,0.198971
9,39986,528,0.308532,0.095192
10,39933,514,0.336226,0.113048
