fold,n_train,n_test,r,r2
1,279306,3086,0.372789,0.138971
2,271560,3838,0.414637,0.171923
3,273072,3787,0.3474,0.120687
4,277277,3203,0.336205,0.113034
5,273362,3746,0.327392,0.107185
6,275538,3408,0.322598,0.104069
7,272895,3839,0.334856,0.112128
8,278245,3162,0.3577,0.127949
9,276139,3294,0.292252,0.085411
10,277479,3174,0.295481,0.087309
