fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.468234,0.219243,0.324658,0.105403,0.282517,23
1,274736,3540,0.478996,0.229437,0.338872,0.114834,0.289334,24
2,274364,3622,0.495515,0.245535,0.339222,0.115072,0.301231,26
3,276327,3357,0.47555,0.226148,0.378303,0.143113,0.349545,24
4,270348,4056,0.482106,0.232426,0.355888,0.126656,0.321763,25
5,279295,2991,0.496167,0.246181,0.324504,0.105303,0.300721,26
6,278054,3168,0.487772,0.237921,0.298613,0.08917,0.268256,25
7,271738,3799,0.489314,0.239429,0.298761,0.089258,0.273372,25
8,276418,3335,0.497464,0.247471,0.263604,0.069487,0.227649,27
9,277417,3244,0.476522,0.227073,0.347247,0.12058,0.302766,24
