component,r_proj_score,w1_pole,w2_pole
C1,0.3222901225090027,"straight, too, re, night, really, it, have, game, places, lot","crossbench, biotechnologist, muralists, hothouses, refoundation, tteok, exonyms, topographer, protectress, hydrographer"
C2,0.19781120121479034,"dandy, strait, piper, rocker, herbie, monty, stevie, gypsy, cowboy, eddy","usefulness, scope, frontline, adherence, importance, demonstrating, measures, strengths, acceptability, comprehensiveness"
C3,0.17458802461624146,"thorough, systemic, explorations, systematic, exhaustive, observational, painstaking, methodical, emphasis, rigorous","bottomless, tubs, cartons, ewers, containers, baseballs, kettles, saucepans, funnels, mugs"
C4,0.13278061151504517,"blueish, haloed, supercilium, viridian, hindwings, glaucous, hindwing, cerulean, ochreous, periostracum","grids, conditioning, units, equipment, separate, operates, structures, computer, plumbing, modular"
C5,0.2002439647912979,"consumer, buyers, resale, shoppers, shipments, owner, new, warehouse, department, dealer","crossbench, castillian, haberdasheries, ncos, paxman, whiptail, muralists, biotechnologist, garrulous, irascible"
C6,0.12046154588460922,"besieging, surveil, rearm, hitchhike, doorsteps, penitentiaries, carouse, singlets, minigames, playthroughs","author, editor, magazine, writer, here, reprinted, published, read, headlines, page"
C7,0.16332343220710754,"booty, brazilian, bare, hole, fist, butt, ass, queen, ghetto, bitch","consumable, offerings, intermodal, verticals, integrators, telematics, foodservice, wholesaling, periodicals, monographs"
C8,0.1916675567626953,"coauthor, algebra, teaching, mathematics, curriculum, literature, microeconomics, yearbook, calculus, monograph","abort, die, steal, alive, zombie, shoot, slay, chase, kill, assassinated"
C9,0.1286197304725647,"humanitarian, counterterrorism, deterrence, jihad, ties, homeland, insurgency, terrorism, threats, warnings","pearly, shimmer, pinkish, tawny, dewy, frosty, cream, fluffy, encased, warm"
C10,0.10554344952106476,"canceled, cancelation, waive, refund, refunded, reservation, refunds, rescheduled, return, cancelled","nomadism, polytheism, dualism, institutionalised, animism, primitivism, shamanism, tribalism, matriarchy, ritualism"
C11,0.13250190019607544,"irksome, irritated, unpleasant, exasperating, troublesome, aggravating, dull, numbing, bothersome, scratchy","imperative, governance, accountabilities, oversight, responsibilities, stewardship, mandate, charter, leadership, administration"
C12,0.15011097490787506,"rest, expecting, none, once, eventually, ill, seeing, happening, before, suffer","taped, valedictory, encores, dedicatory, taping, silkscreen, imprint, halftone, footers, pasting"
C13,0.15322838723659515,"machining, computerised, toolmaking, transistorized, drafters, visualisation, cartographic, drafter, electromechanical, diagramming","fleeing, traveled, exhumed, robbed, accidentally, torched, soldier, shot, patrol, gunshot"
C14,0.11715365946292877,"post, commenting, comment, notes, updates, forum, posting, words, reads, reply","practicality, mobility, optimum, improvement, refinement, compressor, motor, longevity, boiler, condensing"
C15,0.15418846905231476,"uniformity, horsepower, capacity, motor, improvement, efficiency, airflow, mobility, furnace, refinement","poof, fag, faggot, emo, queer, spic, nigger, negro, fagots, faggots"
