fold,n_test,r,r2
1,34005,0.419002,0.175562
2,34005,0.415033,0.172253
3,34004,0.420839,0.177105
4,34004,0.414303,0.171647
5,34004,0.409845,0.167973
6,34004,0.417182,0.174041
7,34004,0.40985,0.167977
8,34004,0.409293,0.167521
9,34004,0.413299,0.170816
10,34004,0.419543,0.176016
