stratum,label,n_corpus,novel_r,novel_r2
freq_1,freq=1,34867,0.233442,0.054495
freq_2_5,freq=2-5,12118,0.173932,0.030252
freq_6_20,freq=6-20,1567,0.082202,0.006757
freq_gt20,freq>20,398,0.094132,0.008861
all,all,48950,0.244852,0.059952
