fold,n_train,n_test,r,r2,acc
1,279306,3086,0.003921,1.5e-05,0.501296
2,271560,3838,0.001845,3e-06,0.506514
3,273072,3787,0.018065,0.000326,0.508582
4,277277,3203,-0.023212,0.000539,0.494849
5,273362,3746,-0.01008,0.000102,0.493326
6,275538,3408,0.008377,7e-05,0.504401
7,272895,3839,-0.020071,0.000403,0.492055
8,278245,3162,0.030655,0.00094,0.511701
9,276139,3294,0.02281,0.00052,0.506679
10,277479,3174,0.005435,3e-05,0.49937
