fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.553855,0.306755,0.375565,0.141049,0.320754,39
1,274736,3540,0.557948,0.311306,0.354381,0.125586,0.302638,37
2,274364,3622,0.558474,0.311893,0.396529,0.157235,0.339941,36
3,276327,3357,0.552808,0.305597,0.414692,0.17197,0.377675,36
4,270348,4056,0.569808,0.324681,0.396672,0.157349,0.357269,44
5,279295,2991,0.572775,0.328071,0.356513,0.127102,0.324657,42
6,278054,3168,0.567792,0.322387,0.337199,0.113703,0.299233,41
7,271738,3799,0.575473,0.331169,0.305921,0.093588,0.283261,42
8,276418,3335,0.563029,0.317002,0.315601,0.099604,0.283075,41
9,277417,3244,0.558717,0.312164,0.369513,0.13654,0.326057,37
