fold,n_test,r,r2,acc
1,34005,0.000746,1e-06,0.501926
2,34005,0.003585,1.3e-05,0.501867
3,34004,0.002881,8e-06,0.500941
4,34004,0.001975,4e-06,0.502176
5,34004,0.003101,1e-05,0.498412
6,34004,0.006796,4.6e-05,0.501441
7,34004,0.004564,2.1e-05,0.500765
8,34004,0.002113,4e-06,0.503029
9,34004,-0.000991,1e-06,0.499971
10,34004,0.001545,2e-06,0.500147
