fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.494585,0.244615,0.431007,0.185767,0.370858,26
1,306037,34005,0.496901,0.246911,0.428593,0.183692,0.366367,27
2,306038,34004,0.484127,0.234379,0.43371,0.188105,0.376096,25
3,306038,34004,0.489954,0.240055,0.429163,0.184181,0.370083,26
4,306038,34004,0.473051,0.223778,0.42329,0.179174,0.366583,24
5,306038,34004,0.479607,0.230023,0.430127,0.185009,0.373535,25
6,306038,34004,0.492982,0.243032,0.425113,0.180721,0.371081,26
7,306038,34004,0.482729,0.233027,0.42442,0.180132,0.36597,25
8,306038,34004,0.485085,0.235307,0.425174,0.180773,0.368973,26
9,306038,34004,0.480039,0.230437,0.432211,0.186807,0.374762,25
