fold,n_train,n_test,r,r2,acc
1,40166,493,0.019657,0.000386,0.494929
2,40129,499,0.00891,7.9e-05,0.501002
3,39267,606,-0.027098,0.000734,0.4967
4,39663,515,-0.058115,0.003377,0.514563
5,39495,529,-0.010173,0.000103,0.478261
6,39622,526,0.059594,0.003551,0.51711
7,38849,632,0.003928,1.5e-05,0.503165
8,39802,470,-0.044977,0.002023,0.493617
9,39986,528,0.001294,2e-06,0.481061
10,39933,514,0.016881,0.000285,0.490272
