contrast,mean_diff,ci_lo,ci_hi,significant
freq_1_vs_freq_2_5,-0.000744,-0.011074,0.010593,False
freq_2_5_vs_freq_6_20,-0.003105,-0.014211,0.008237,False
freq_6_20_vs_freq_gt20,0.002032,-0.007887,0.012816,False
freq_1_vs_freq_gt20,-0.001817,-0.011,0.008267,False
