stratum,label,n_stratum,n_sampled,mean_r2,ci_lo,ci_hi
freq_1,freq=1,34867,398,0.006307,0.00056,0.01457
freq_2_5,freq=2-5,12118,398,0.00705,0.001125,0.015894
freq_6_20,freq=6-20,1567,398,0.010156,0.003263,0.019015
freq_gt20,freq>20,398,398,0.008124,0.002694,0.015148
