fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.03342,0.001117,0.006236,3.9e-05,0.003161,0.504102,23
1,306037,34005,0.034356,0.00118,0.006341,4e-05,0.00581,0.503573,23
2,306038,34004,0.044645,0.001993,-0.005962,3.6e-05,-0.006321,0.499412,24
3,306038,34004,0.048345,0.002337,-0.00904,8.2e-05,-0.010901,0.496148,24
4,306038,34004,0.039314,0.001546,0.002153,5e-06,0.000542,0.499853,23
5,306038,34004,0.03217,0.001035,-0.007351,5.4e-05,-0.007896,0.499471,22
6,306038,34004,0.032714,0.00107,0.002698,7e-06,0.002599,0.502059,22
7,306038,34004,0.028863,0.000833,0.004256,1.8e-05,0.006476,0.506088,22
8,306038,34004,0.041014,0.001682,-0.00438,1.9e-05,-0.005407,0.493912,23
9,306038,34004,0.030739,0.000945,-0.001368,2e-06,0.001817,0.502882,22
