condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,22,words_only,pair_novel,0.221738,0.034301,10,118.9,124.9
default,22,words_only,word_novel,0.100599,0.030534,10,156.1,162.1
default,23,mean_pooled,pair_novel,0.667451,0.017257,10,104.9,110.9
default,23,mean_pooled,word_novel,0.606668,0.031309,10,142.3,148.3
default,23,words_only,pair_novel,0.210329,0.023066,10,128.4,134.4
default,23,words_only,word_novel,0.094801,0.034415,10,125.1,131.1
default,24,mean_pooled,pair_novel,0.660823,0.026988,10,122.6,128.6
default,24,mean_pooled,word_novel,0.591981,0.033145,10,148.8,154.8
default,24,words_only,pair_novel,0.167148,0.029764,10,91.5,97.5
default,24,words_only,word_novel,0.091538,0.037721,10,133.2,139.2
attn_zeroed,0,mean_pooled,pair_novel,0.857441,0.004466,10,117.9,123.9
attn_zeroed,0,mean_pooled,word_novel,0.7548,0.038687,10,108.4,114.4
attn_zeroed,0,words_only,pair_novel,0.542609,0.016031,10,191.5,197.5
attn_zeroed,0,words_only,word_novel,0.134353,0.045281,10,179.6,185.6
attn_zeroed,1,mean_pooled,pair_novel,0.846909,0.005812,10,110.7,116.7
attn_zeroed,1,mean_pooled,word_novel,0.7679,0.026572,10,123.9,129.9
attn_zeroed,1,words_only,pair_novel,0.548974,0.025675,10,205.8,211.8
attn_zeroed,1,words_only,word_novel,0.148184,0.039738,10,172.2,178.2
attn_zeroed,2,mean_pooled,pair_novel,0.845307,0.005684,10,132.4,138.4
attn_zeroed,2,mean_pooled,word_novel,0.765978,0.032029,10,124.5,130.5
attn_zeroed,2,words_only,pair_novel,0.553518,0.013294,10,203.9,209.9
attn_zeroed,2,words_only,word_novel,0.155139,0.041435,10,188.8,194.8
attn_zeroed,3,mean_pooled,pair_novel,0.835292,0.011001,10,124.8,130.8
attn_zeroed,3,mean_pooled,word_novel,0.762127,0.020937,10,132.7,138.7
attn_zeroed,3,words_only,pair_novel,0.550124,0.014706,10,196.0,202.0
attn_zeroed,3,words_only,word_novel,0.15555,0.03747,10,179.0,185.0
attn_zeroed,4,mean_pooled,pair_novel,0.82592,0.022485,10,129.3,135.3
attn_zeroed,4,mean_pooled,word_novel,0.75538,0.02711,10,130.0,136.0
attn_zeroed,4,words_only,pair_novel,0.531172,0.029493,10,182.7,188.7
attn_zeroed,4,words_only,word_novel,0.154559,0.045736,10,175.0,181.0
attn_zeroed,5,mean_pooled,pair_novel,0.815962,0.011695,10,117.0,123.0
attn_zeroed,5,mean_pooled,word_novel,0.745773,0.030582,10,140.4,146.4
attn_zeroed,5,words_only,pair_novel,0.5179,0.029386,10,182.2,188.2
attn_zeroed,5,words_only,word_novel,0.142009,0.043844,10,147.5,153.5
attn_zeroed,6,mean_pooled,pair_novel,0.816192,0.008663,10,131.8,137.8
attn_zeroed,6,mean_pooled,word_novel,0.740225,0.027182,10,131.0,137.0
attn_zeroed,6,words_only,pair_novel,0.512819,0.020809,10,190.0,196.0
attn_zeroed,6,words_only,word_novel,0.147935,0.041683,10,163.0,169.0
attn_zeroed,7,mean_pooled,pair_novel,0.80385,0.011166,10,129.3,135.3
attn_zeroed,7,mean_pooled,word_novel,0.740228,0.022861,10,145.7,151.7
attn_zeroed,7,words_only,pair_novel,0.488944,0.022833,10,174.5,180.5
attn_zeroed,7,words_only,word_novel,0.149372,0.036508,10,161.9,167.9
attn_zeroed,8,mean_pooled,pair_novel,0.794832,0.010393,10,121.3,127.3
attn_zeroed,8,mean_pooled,word_novel,0.723809,0.033805,10,140.8,146.8
attn_zeroed,8,words_only,pair_novel,0.468802,0.060879,10,182.4,188.4
attn_zeroed,8,words_only,word_novel,0.14883,0.037725,10,149.7,155.7
attn_zeroed,9,mean_pooled,pair_novel,0.783922,0.014867,10,121.0,127.0
attn_zeroed,9,mean_pooled,word_novel,0.711921,0.032655,10,131.3,137.3
attn_zeroed,9,words_only,pair_novel,0.454164,0.032631,10,166.7,172.7
attn_zeroed,9,words_only,word_novel,0.141436,0.03085,10,152.3,158.3
attn_zeroed,10,mean_pooled,pair_novel,0.77475,0.013127,10,120.9,126.9
attn_zeroed,10,mean_pooled,word_novel,0.704944,0.025525,10,126.6,132.6
attn_zeroed,10,words_only,pair_novel,0.409432,0.073542,10,150.8,156.8
attn_zeroed,10,words_only,word_novel,0.128821,0.022091,10,130.5,136.5
attn_zeroed,11,mean_pooled,pair_novel,0.767365,0.013066,10,111.3,117.3
attn_zeroed,11,mean_pooled,word_novel,0.695097,0.029886,10,116.5,122.5
attn_zeroed,11,words_only,pair_novel,0.414557,0.058392,10,157.5,163.5
attn_zeroed,11,words_only,word_novel,0.12945,0.030168,10,157.9,163.9
attn_zeroed,12,mean_pooled,pair_novel,0.760863,0.013435,10,110.2,116.2
