condition,layer,mode,split,k,mean_r2,sd_r2
default,16,mean_pooled,pair_novel,1,0.141576,0.003833
default,16,mean_pooled,pair_novel,2,0.219645,0.004925
default,16,mean_pooled,pair_novel,3,0.277473,0.007236
default,16,mean_pooled,pair_novel,4,0.304036,0.007979
default,16,mean_pooled,pair_novel,5,0.315181,0.00817
default,16,mean_pooled,pair_novel,6,0.327996,0.008113
default,16,mean_pooled,pair_novel,7,0.335473,0.008051
default,16,mean_pooled,pair_novel,8,0.341936,0.007834
default,16,mean_pooled,pair_novel,9,0.346021,0.007786
default,16,mean_pooled,pair_novel,10,0.348736,0.007929
default,16,mean_pooled,pair_novel,11,0.350582,0.007935
default,16,mean_pooled,pair_novel,12,0.352067,0.007979
default,16,mean_pooled,pair_novel,13,0.353156,0.008024
default,16,mean_pooled,pair_novel,14,0.353991,0.008139
default,16,mean_pooled,pair_novel,15,0.354623,0.008258
default,16,mean_pooled,word_novel,1,0.136172,0.030428
default,16,mean_pooled,word_novel,2,0.208754,0.024416
default,16,mean_pooled,word_novel,3,0.264117,0.028081
default,16,mean_pooled,word_novel,4,0.289145,0.031019
default,16,mean_pooled,word_novel,5,0.299157,0.030898
default,16,mean_pooled,word_novel,6,0.311384,0.033844
default,16,mean_pooled,word_novel,7,0.316609,0.031751
default,16,mean_pooled,word_novel,8,0.321434,0.02995
default,16,mean_pooled,word_novel,9,0.323552,0.030336
default,16,mean_pooled,word_novel,10,0.325338,0.029746
default,16,mean_pooled,word_novel,11,0.326433,0.029624
default,16,mean_pooled,word_novel,12,0.327895,0.029067
default,16,mean_pooled,word_novel,13,0.32856,0.029397
default,16,mean_pooled,word_novel,14,0.329297,0.029561
default,16,mean_pooled,word_novel,15,0.330081,0.030102
default,16,words_only,pair_novel,1,0.078916,0.004319
default,16,words_only,pair_novel,2,0.12409,0.004747
default,16,words_only,pair_novel,3,0.155935,0.004313
default,16,words_only,pair_novel,4,0.190071,0.004565
default,16,words_only,pair_novel,5,0.212141,0.005238
default,16,words_only,pair_novel,6,0.229215,0.00541
default,16,words_only,pair_novel,7,0.24154,0.006034
default,16,words_only,pair_novel,8,0.24644,0.00646
default,16,words_only,pair_novel,9,0.252238,0.006866
default,16,words_only,pair_novel,10,0.255473,0.007031
default,16,words_only,pair_novel,11,0.258128,0.006731
default,16,words_only,pair_novel,12,0.260343,0.006723
default,16,words_only,pair_novel,13,0.26148,0.006947
default,16,words_only,pair_novel,14,0.262269,0.006824
default,16,words_only,pair_novel,15,0.262861,0.006795
default,16,words_only,word_novel,1,0.076287,0.009772
default,16,words_only,word_novel,2,0.120146,0.023566
default,16,words_only,word_novel,3,0.147095,0.022115
default,16,words_only,word_novel,4,0.17411,0.020801
default,16,words_only,word_novel,5,0.192942,0.022709
default,16,words_only,word_novel,6,0.203397,0.023572
default,16,words_only,word_novel,7,0.21332,0.027108
default,16,words_only,word_novel,8,0.217106,0.027607
default,16,words_only,word_novel,9,0.223258,0.027052
default,16,words_only,word_novel,10,0.225628,0.026207
default,16,words_only,word_novel,11,0.227643,0.025694
default,16,words_only,word_novel,12,0.22937,0.026833
default,16,words_only,word_novel,13,0.230253,0.027154
default,16,words_only,word_novel,14,0.230656,0.027907
default,16,words_only,word_novel,15,0.230997,0.028569
attn_zeroed,16,mean_pooled,pair_novel,1,0.097934,0.003884
attn_zeroed,16,mean_pooled,pair_novel,2,0.171302,0.004525
attn_zeroed,16,mean_pooled,pair_novel,3,0.224409,0.006229
attn_zeroed,16,mean_pooled,pair_novel,4,0.259611,0.006782
attn_zeroed,16,mean_pooled,pair_novel,5,0.279601,0.006673
attn_zeroed,16,mean_pooled,pair_novel,6,0.295382,0.007103
attn_zeroed,16,mean_pooled,pair_novel,7,0.304529,0.00703
attn_zeroed,16,mean_pooled,pair_novel,8,0.311441,0.007718
attn_zeroed,16,mean_pooled,pair_novel,9,0.316981,0.006916
attn_zeroed,16,mean_pooled,pair_novel,10,0.322412,0.006567
attn_zeroed,16,mean_pooled,pair_novel,11,0.327379,0.006577
attn_zeroed,16,mean_pooled,pair_novel,12,0.329702,0.006658
attn_zeroed,16,mean_pooled,pair_novel,13,0.331613,0.006799
attn_zeroed,16,mean_pooled,pair_novel,14,0.332691,0.006789
attn_zeroed,16,mean_pooled,pair_novel,15,0.333442,0.006972
attn_zeroed,16,mean_pooled,word_novel,1,0.092871,0.02144
attn_zeroed,16,mean_pooled,word_novel,2,0.160252,0.021936
attn_zeroed,16,mean_pooled,word_novel,3,0.209814,0.023013
attn_zeroed,16,mean_pooled,word_novel,4,0.239235,0.025769
attn_zeroed,16,mean_pooled,word_novel,5,0.255035,0.027201
attn_zeroed,16,mean_pooled,word_novel,6,0.265777,0.027593
attn_zeroed,16,mean_pooled,word_novel,7,0.27119,0.029107
attn_zeroed,16,mean_pooled,word_novel,8,0.275197,0.028638
attn_zeroed,16,mean_pooled,word_novel,9,0.278843,0.028358
attn_zeroed,16,mean_pooled,word_novel,10,0.280828,0.027894
attn_zeroed,16,mean_pooled,word_novel,11,0.282977,0.027745
attn_zeroed,16,mean_pooled,word_novel,12,0.28386,0.027645
attn_zeroed,16,mean_pooled,word_novel,13,0.284531,0.027694
attn_zeroed,16,mean_pooled,word_novel,14,0.284312,0.027072
attn_zeroed,16,mean_pooled,word_novel,15,0.284127,0.027043
attn_zeroed,16,words_only,pair_novel,1,0.103424,0.004305
attn_zeroed,16,words_only,pair_novel,2,0.167065,0.005222
attn_zeroed,16,words_only,pair_novel,3,0.191255,0.005773
attn_zeroed,16,words_only,pair_novel,4,0.226982,0.005367
attn_zeroed,16,words_only,pair_novel,5,0.256166,0.00686
attn_zeroed,16,words_only,pair_novel,6,0.277543,0.007948
attn_zeroed,16,words_only,pair_novel,7,0.292757,0.008146
attn_zeroed,16,words_only,pair_novel,8,0.29944,0.008389
attn_zeroed,16,words_only,pair_novel,9,0.306479,0.008266
attn_zeroed,16,words_only,pair_novel,10,0.311087,0.008005
attn_zeroed,16,words_only,pair_novel,11,0.314364,0.007893
attn_zeroed,16,words_only,pair_novel,12,0.316778,0.008257
attn_zeroed,16,words_only,pair_novel,13,0.31843,0.008291
attn_zeroed,16,words_only,pair_novel,14,0.319647,0.008307
attn_zeroed,16,words_only,pair_novel,15,0.320403,0.008239
attn_zeroed,16,words_only,word_novel,1,0.100509,0.020572
attn_zeroed,16,words_only,word_novel,2,0.162691,0.029787
attn_zeroed,16,words_only,word_novel,3,0.183663,0.029896
attn_zeroed,16,words_only,word_novel,4,0.211623,0.024318
attn_zeroed,16,words_only,word_novel,5,0.236756,0.028627
attn_zeroed,16,words_only,word_novel,6,0.253205,0.032631
