condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
attn_zeroed,3,words_only,word_novel,0.000125,0.000145,10,5.1,11.1
attn_zeroed,4,mean_pooled,pair_novel,4.3e-05,6.1e-05,10,14.5,20.5
attn_zeroed,4,mean_pooled,word_novel,0.000401,0.000752,10,9.6,15.6
attn_zeroed,4,words_only,pair_novel,1.7e-05,1.3e-05,10,6.0,12.0
attn_zeroed,4,words_only,word_novel,0.00015,0.000212,10,4.8,10.8
attn_zeroed,5,mean_pooled,pair_novel,1e-05,1.2e-05,10,13.4,19.4
attn_zeroed,5,mean_pooled,word_novel,0.000404,0.000525,10,12.1,18.1
attn_zeroed,5,words_only,pair_novel,1.5e-05,1.4e-05,10,6.4,12.4
attn_zeroed,5,words_only,word_novel,0.000205,0.000284,10,6.0,12.0
attn_zeroed,6,mean_pooled,pair_novel,2.4e-05,2.6e-05,10,12.2,18.2
attn_zeroed,6,mean_pooled,word_novel,0.000178,0.000245,10,12.7,18.7
attn_zeroed,6,words_only,pair_novel,2.8e-05,4.4e-05,10,6.6,12.6
attn_zeroed,6,words_only,word_novel,0.000324,0.000435,10,5.7,11.7
attn_zeroed,7,mean_pooled,pair_novel,2.3e-05,1.9e-05,10,10.6,16.6
attn_zeroed,7,mean_pooled,word_novel,0.000137,0.000201,10,13.7,19.7
attn_zeroed,7,words_only,pair_novel,4.5e-05,4.7e-05,10,5.6,11.6
attn_zeroed,7,words_only,word_novel,0.000156,0.000256,10,6.4,12.4
attn_zeroed,8,mean_pooled,pair_novel,3e-05,3.1e-05,10,9.2,15.2
attn_zeroed,8,mean_pooled,word_novel,0.000159,0.000233,10,13.2,19.2
attn_zeroed,8,words_only,pair_novel,4.1e-05,4.2e-05,10,7.7,13.7
attn_zeroed,8,words_only,word_novel,0.000217,0.000304,10,7.2,13.2
attn_zeroed,9,mean_pooled,pair_novel,2.9e-05,4.8e-05,10,18.8,24.8
attn_zeroed,9,mean_pooled,word_novel,0.000317,0.000321,10,15.3,21.3
attn_zeroed,9,words_only,pair_novel,6.2e-05,7.6e-05,10,6.4,12.4
attn_zeroed,9,words_only,word_novel,0.000312,0.000303,10,6.7,12.7
attn_zeroed,10,mean_pooled,pair_novel,1.1e-05,1.6e-05,10,17.6,23.6
attn_zeroed,10,mean_pooled,word_novel,0.000374,0.000458,10,18.8,24.8
attn_zeroed,10,words_only,pair_novel,2.6e-05,2.7e-05,10,5.6,11.6
attn_zeroed,10,words_only,word_novel,8.5e-05,9e-05,10,6.8,12.8
attn_zeroed,11,mean_pooled,pair_novel,3e-05,1.6e-05,10,15.8,21.8
attn_zeroed,11,mean_pooled,word_novel,0.00018,0.000241,10,19.0,25.0
attn_zeroed,11,words_only,pair_novel,3e-05,3.7e-05,10,5.9,11.9
attn_zeroed,11,words_only,word_novel,0.000238,0.00038,10,5.8,11.8
