condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,24,mean_pooled,pair_novel,0.53182,0.004367,10,24.1,30.1
default,24,mean_pooled,word_novel,0.461282,0.035049,10,22.1,28.1
default,24,words_only,pair_novel,0.513569,0.005082,10,13.6,19.6
default,24,words_only,word_novel,0.457855,0.025411,10,12.6,18.6
attn_zeroed,24,mean_pooled,pair_novel,0.552065,0.006357,10,36.6,42.6
attn_zeroed,24,mean_pooled,word_novel,0.476596,0.019446,10,30.9,36.9
attn_zeroed,24,words_only,pair_novel,0.563664,0.005285,10,13.4,19.4
attn_zeroed,24,words_only,word_novel,0.504084,0.020078,10,13.5,19.5
default,0,mean_pooled,pair_novel,0.361336,0.006921,10,26.7,32.7
default,0,mean_pooled,word_novel,0.239429,0.024591,10,26.2,32.2
default,0,words_only,pair_novel,0.387975,0.00603,10,7.6,13.6
default,0,words_only,word_novel,0.253095,0.031023,10,7.3,13.3
default,1,mean_pooled,pair_novel,0.434606,0.006621,10,25.1,31.1
default,1,mean_pooled,word_novel,0.321205,0.025814,10,25.1,31.1
default,1,words_only,pair_novel,0.438739,0.006725,10,9.3,15.3
default,1,words_only,word_novel,0.31995,0.031846,10,9.9,15.9
default,2,mean_pooled,pair_novel,0.461221,0.0053,10,22.2,28.2
default,2,mean_pooled,word_novel,0.358757,0.030517,10,23.6,29.6
default,2,words_only,pair_novel,0.45423,0.007559,10,9.7,15.7
default,2,words_only,word_novel,0.348155,0.031428,10,9.5,15.5
default,3,mean_pooled,pair_novel,0.472257,0.005464,10,20.5,26.5
default,3,mean_pooled,word_novel,0.375581,0.028468,10,21.6,27.6
default,3,words_only,pair_novel,0.466597,0.006078,10,10.6,16.6
default,3,words_only,word_novel,0.369904,0.030345,10,9.7,15.7
default,4,mean_pooled,pair_novel,0.493222,0.003437,10,25.3,31.3
default,4,mean_pooled,word_novel,0.406082,0.032445,10,24.3,30.3
default,4,words_only,pair_novel,0.487875,0.006112,10,12.8,18.8
