fold,n_train,n_test,r,r2,acc
1,279306,3086,0.269057,0.072392,0.59138
2,271560,3838,0.233871,0.054696,0.568265
3,273072,3787,0.309425,0.095744,0.581991
4,277277,3203,0.208443,0.043449,0.566344
5,273362,3746,0.258907,0.067033,0.578751
6,275538,3408,0.235792,0.055598,0.556925
7,272895,3839,0.236277,0.055827,0.568377
8,278245,3162,0.284921,0.08118,0.5642
9,276139,3294,0.209782,0.044009,0.562538
10,277479,3174,0.276997,0.076727,0.57971
