fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.421912,0.17801,0.24919,0.062095,0.241024,0.581983,34
1,271560,3838,0.413543,0.171018,0.210704,0.044396,0.198707,0.571912,31
2,273072,3787,0.409152,0.167405,0.297732,0.088644,0.254412,0.589385,51
3,277277,3203,0.419584,0.17605,0.208814,0.043603,0.202495,0.573837,31
4,273362,3746,0.42413,0.179886,0.250447,0.062724,0.240794,0.583289,33
5,275538,3408,0.427563,0.18281,0.246023,0.060527,0.233481,0.566608,37
6,272895,3839,0.424116,0.179875,0.214043,0.045815,0.203337,0.568117,34
7,278245,3162,0.42153,0.177687,0.254284,0.06466,0.233533,0.56673,34
8,276139,3294,0.415006,0.17223,0.213915,0.045759,0.205688,0.57377,30
9,277479,3174,0.422399,0.178421,0.260769,0.068,0.250036,0.593258,34
