fold,n_test,r,r2,acc
1,34005,0.346051,0.119752,0.604823
2,34005,0.340382,0.11586,0.597736
3,34004,0.335575,0.112611,0.595342
4,34004,0.339595,0.115325,0.598694
5,34004,0.336866,0.113479,0.597253
6,34004,0.333272,0.11107,0.603106
7,34004,0.334488,0.111883,0.600135
8,34004,0.333865,0.111466,0.602459
9,34004,0.338498,0.114581,0.604605
10,34004,0.34054,0.115967,0.603517
