fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.08297,0.006884,0.000924,1e-06,0.004101,0.511156,22
1,40129,499,0.080623,0.0065,0.080842,0.006535,0.080437,0.549098,22
2,39267,606,0.101335,0.010269,0.089038,0.007928,0.090847,0.523102,23
3,39663,515,0.068705,0.00472,0.036302,0.001318,0.001221,0.473786,22
4,39495,529,0.08332,0.006942,-0.015898,0.000253,0.009181,0.506616,22
5,39622,526,0.087421,0.007642,0.046783,0.002189,0.061274,0.505703,22
6,38849,632,0.108842,0.011847,0.019039,0.000362,0.030739,0.539557,24
7,39802,470,0.110615,0.012236,-0.035905,0.001289,-0.043502,0.5,24
8,39986,528,0.100005,0.010001,0.054002,0.002916,0.04638,0.515152,24
9,39933,514,0.073259,0.005367,-0.009558,9.1e-05,-0.020465,0.470817,22
