fold,n_test,r,r2,acc
1,34005,-0.012284,0.000151,0.50272
2,34005,-0.002483,6e-06,0.502338
3,34004,-0.008725,7.6e-05,0.497324
4,34004,-0.003163,1e-05,0.500735
5,34004,-0.000842,1e-06,0.501206
6,34004,-0.006508,4.2e-05,0.500265
7,34004,-0.003971,1.6e-05,0.497089
8,34004,0.000847,1e-06,0.503294
9,34004,-0.009253,8.6e-05,0.496383
10,34004,0.002527,6e-06,0.500235
