fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.543581,0.29548,0.480159,0.230553,0.429457,0.63923,94
1,306037,34005,0.543359,0.295239,0.481219,0.231571,0.423967,0.638965,110
2,306038,34004,0.541573,0.293302,0.475062,0.225684,0.415114,0.63319,98
3,306038,34004,0.538669,0.290165,0.478722,0.229175,0.423623,0.637631,89
4,306038,34004,0.531187,0.28216,0.470561,0.221427,0.42051,0.638895,69
5,306038,34004,0.543014,0.294864,0.463884,0.215188,0.415426,0.639454,101
6,306038,34004,0.551616,0.304281,0.480457,0.230839,0.423511,0.636925,144
7,306038,34004,0.542569,0.294381,0.470007,0.220907,0.420187,0.641572,96
8,306038,34004,0.5328,0.283876,0.474544,0.225192,0.42396,0.64113,77
9,306038,34004,0.550587,0.303146,0.474864,0.225496,0.423863,0.640719,134
