fold,n_train,n_test,r,r2,acc
1,279306,3086,-0.017705,0.000313,0.490927
2,271560,3838,0.013499,0.000182,0.494007
3,273072,3787,-0.029475,0.000869,0.491418
4,277277,3203,-0.006429,4.1e-05,0.503278
5,273362,3746,-0.02123,0.000451,0.494661
6,275538,3408,0.033975,0.001154,0.524061
7,272895,3839,-0.000633,0.0,0.504037
8,278245,3162,0.008351,7e-05,0.499051
9,276139,3294,-0.010816,0.000117,0.500911
10,277479,3174,-0.022768,0.000518,0.49811
