fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.123287,0.0152,-0.063536,0.004037,-0.060878,0.496957,22
1,40129,499,0.129367,0.016736,-0.05304,0.002813,-0.034629,0.466934,22
2,39267,606,0.088576,0.007846,-0.01221,0.000149,0.000594,0.476898,21
3,39663,515,0.090452,0.008182,-0.025288,0.000639,-0.013782,0.493204,21
4,39495,529,0.079594,0.006335,0.026831,0.00072,0.044832,0.536862,21
5,39622,526,0.079107,0.006258,-0.027222,0.000741,-0.01084,0.488593,21
6,38849,632,0.114425,0.013093,0.006584,4.3e-05,-0.00669,0.503165,22
7,39802,470,0.131516,0.017297,-0.002766,8e-06,0.017626,0.514894,22
8,39986,528,0.070086,0.004912,0.012787,0.000164,-0.006903,0.507576,21
9,39933,514,0.088309,0.007799,-0.045241,0.002047,-0.034848,0.498054,21
