fold,n_train,n_test,r,r2,acc
1,40166,493,0.245408,0.060225,0.537525
2,40129,499,0.384801,0.148072,0.665331
3,39267,606,0.247146,0.061081,0.620462
4,39663,515,0.336972,0.11355,0.530097
5,39495,529,0.329776,0.108752,0.674858
6,39622,526,0.330844,0.109458,0.65019
7,38849,632,0.297234,0.088348,0.636076
8,39802,470,0.419657,0.176112,0.668085
9,39986,528,0.257659,0.066388,0.621212
10,39933,514,0.336634,0.113323,0.643969
