fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.410083,0.168168,0.368982,0.136148,0.335098,0.609205,31
1,306037,34005,0.4265,0.181902,0.360841,0.130206,0.325855,0.603588,39
2,306038,34004,0.411644,0.169451,0.358884,0.128798,0.321112,0.602664,31
3,306038,34004,0.409959,0.168066,0.36411,0.132576,0.324712,0.605782,31
4,306038,34004,0.421958,0.178049,0.359987,0.12959,0.320989,0.601547,36
5,306038,34004,0.416895,0.173801,0.352632,0.124349,0.324384,0.606664,34
6,306038,34004,0.415417,0.172571,0.363184,0.131903,0.331717,0.60884,33
7,306038,34004,0.409604,0.167775,0.352943,0.124569,0.322291,0.607017,31
8,306038,34004,0.408255,0.166672,0.361464,0.130656,0.329609,0.608605,30
9,306038,34004,0.401625,0.161302,0.35538,0.126295,0.322488,0.607634,28
