fold,n_train,n_test,r,r2,acc
1,40166,493,-0.049434,0.002444,0.51927
2,40129,499,-0.012927,0.000167,0.517034
3,39267,606,-0.009138,8.4e-05,0.480198
4,39663,515,0.024832,0.000617,0.481553
5,39495,529,0.038484,0.001481,0.529301
6,39622,526,0.037861,0.001433,0.5
7,38849,632,-0.030054,0.000903,0.496835
8,39802,470,0.015915,0.000253,0.52766
9,39986,528,0.089824,0.008068,0.528409
10,39933,514,0.018931,0.000358,0.490272
