fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.077956,0.006077,-0.002229,5e-06,-0.002926,0.502161,23
1,306037,34005,0.059783,0.003574,0.000888,1e-06,0.002084,0.504485,22
2,306038,34004,0.041571,0.001728,-0.002829,8e-06,-0.000266,0.5005,21
3,306038,34004,0.063215,0.003996,-0.009718,9.4e-05,-0.008081,0.49853,22
4,306038,34004,0.052083,0.002713,0.004498,2e-05,0.004007,0.505088,22
5,306038,34004,0.036032,0.001298,-0.003387,1.1e-05,-0.002784,0.497853,21
6,306038,34004,0.057227,0.003275,-0.004727,2.2e-05,-0.006011,0.501059,22
7,306038,34004,0.038925,0.001515,-0.000988,1e-06,-0.002315,0.499059,21
8,306038,34004,0.036946,0.001365,-0.004231,1.8e-05,-0.007906,0.502941,21
9,306038,34004,0.057568,0.003314,0.005001,2.5e-05,0.007223,0.504823,22
