fold,n_test,r,r2,acc
1,34005,-0.00497,2.5e-05,0.50125
2,34005,0.002852,8e-06,0.503661
3,34004,0.005757,3.3e-05,0.504382
4,34004,0.002072,4e-06,0.503852
5,34004,0.002539,6e-06,0.497353
6,34004,-0.001261,2e-06,0.494971
7,34004,-0.005254,2.8e-05,0.496383
8,34004,-0.004037,1.6e-05,0.503058
9,34004,-0.00257,7e-06,0.499118
10,34004,0.003416,1.2e-05,0.499618
