fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.538416,0.289892,0.353159,0.124721,0.356964,0.624746,28
1,40129,499,0.55201,0.304715,0.425139,0.180743,0.43701,0.639279,29
2,39267,606,0.545343,0.297399,0.364848,0.133114,0.355174,0.607261,28
3,39663,515,0.567702,0.322286,0.389479,0.151694,0.361667,0.609709,30
4,39495,529,0.547621,0.299889,0.471429,0.222245,0.454702,0.657845,29
5,39622,526,0.570634,0.325623,0.488386,0.238521,0.443917,0.644487,31
6,38849,632,0.523544,0.274099,0.38037,0.144681,0.323673,0.59019,27
7,39802,470,0.520893,0.27133,0.437504,0.19141,0.424685,0.619149,26
8,39986,528,0.542431,0.294232,0.360548,0.129995,0.330615,0.570076,28
9,39933,514,0.526417,0.277115,0.410578,0.168574,0.399312,0.636187,26
