fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.169827,0.028841,-0.074417,0.005538,-0.082109,0.505071,21
1,40129,499,0.230411,0.053089,-0.002991,9e-06,-0.002797,0.50501,22
2,39267,606,0.159857,0.025554,-0.015362,0.000236,-0.031446,0.483498,21
3,39663,515,0.170273,0.028993,0.002035,4e-06,-0.006142,0.497087,21
4,39495,529,0.161813,0.026183,-0.043179,0.001864,-0.029305,0.47448,21
5,39622,526,0.159734,0.025515,0.010592,0.000112,0.025447,0.526616,21
6,38849,632,0.157314,0.024748,0.053719,0.002886,0.053334,0.506329,21
7,39802,470,0.152753,0.023334,-0.037467,0.001404,-0.044376,0.487234,21
8,39986,528,0.193721,0.037528,0.029191,0.000852,0.014091,0.511364,22
9,39933,514,0.142575,0.020328,0.001767,3e-06,-0.000945,0.511673,21
