fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.092896,0.00863,0.003585,1.3e-05,0.006122,0.502926,21
1,306037,34005,0.081162,0.006587,0.002903,8e-06,-0.000258,0.499074,21
2,306038,34004,0.086137,0.00742,0.009488,9e-05,0.010531,0.504588,21
3,306038,34004,0.087433,0.007645,0.002354,6e-06,0.000917,0.503588,21
4,306038,34004,0.087013,0.007571,-0.000779,1e-06,-0.001708,0.493295,21
5,306038,34004,0.08132,0.006613,0.000495,0.0,-0.003084,0.496589,21
6,306038,34004,0.08495,0.007216,0.002052,4e-06,0.001358,0.499529,21
7,306038,34004,0.081626,0.006663,-0.006724,4.5e-05,-0.003016,0.500676,21
8,306038,34004,0.073851,0.005454,-0.002623,7e-06,-0.000606,0.499177,21
9,306038,34004,0.078338,0.006137,0.005097,2.6e-05,0.003225,0.501088,21
