fold,n_train,n_test,r,r2,acc
1,40166,493,-0.066301,0.004396,0.488844
2,40129,499,0.004827,2.3e-05,0.513026
3,39267,606,-0.000618,0.0,0.509901
4,39663,515,0.028911,0.000836,0.524272
5,39495,529,0.012294,0.000151,0.499055
6,39622,526,0.00224,5e-06,0.507605
7,38849,632,0.030981,0.00096,0.504747
8,39802,470,-0.062852,0.00395,0.470213
9,39986,528,0.020693,0.000428,0.49053
10,39933,514,0.003741,1.4e-05,0.496109
