fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.508036,0.2581,0.302024,0.091218,0.300659,0.541582,24
1,40129,499,0.516738,0.267018,0.410335,0.168375,0.447435,0.705411,25
2,39267,606,0.521429,0.271889,0.366979,0.134673,0.377753,0.587459,25
3,39663,515,0.515361,0.265597,0.363879,0.132408,0.344182,0.662136,25
4,39495,529,0.518292,0.268627,0.475035,0.225659,0.464731,0.627599,26
5,39622,526,0.51862,0.268966,0.422245,0.178291,0.413061,0.585551,26
6,38849,632,0.515455,0.265694,0.388571,0.150987,0.330867,0.552215,26
7,39802,470,0.491558,0.24163,0.461101,0.212614,0.460006,0.614894,24
8,39986,528,0.52499,0.275615,0.358071,0.128215,0.334742,0.543561,27
9,39933,514,0.524369,0.274962,0.384629,0.147939,0.398772,0.684825,26
