fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.431409,0.186113,0.315227,0.099368,0.277322,0.596889,23
1,271560,3838,0.435494,0.189655,0.338389,0.114507,0.307658,0.612819,24
2,273072,3787,0.434414,0.188716,0.319226,0.101905,0.298826,0.596514,25
3,277277,3203,0.431246,0.185973,0.285699,0.081624,0.262679,0.594443,23
4,273362,3746,0.438579,0.192351,0.328601,0.107979,0.303247,0.610518,24
5,275538,3408,0.447415,0.20018,0.282705,0.079922,0.270717,0.586561,25
6,272895,3839,0.441789,0.195178,0.294105,0.086498,0.267411,0.581401,24
7,278245,3162,0.453367,0.205542,0.301135,0.090682,0.297084,0.599937,25
8,276139,3294,0.424758,0.18042,0.298336,0.089004,0.297628,0.605343,23
9,277479,3174,0.441668,0.19507,0.245819,0.060427,0.211751,0.572779,24
